name,total_points,saves,conceded,creativity,influence,threat,bonus,BPS,ICT_index,clean_sheets,position
Bruno Fernandes,244,0,36,1414.9,1292.6,1253,36,870,396.2,13,MID
Harry Kane,242,0,39,659.1,1318.2,1585,40,880,355.9,12,FWD
Mohamed Salah,231,0,41,825.7,1056.0,1980,21,657,385.8,11,MID
Heung-Min Son,228,0,36,1049.9,1052.2,1046,26,777,315.2,13,MID
Patrick Bamford,194,0,50,371.0,867.2,1512,26,631,274.6,10,FWD
Jamie Vardy,187,0,44,356.6,819.2,1306,23,649,248.3,8,FWD
Emiliano Martinez,186,142,46,20.0,1067.2,0,27,825,108.5,15,GK
Sadio Mane,176,0,28,809.7,808.8,1535,14,513,315.5,12,MID
Marcus Rashford,174,0,39,682.1,793.2,1127,9,535,260.3,12,MID
Stuart Dallas,171,0,53,454.6,756.8,527,15,726,174.2,12,DEF
Ollie Watkins,168,0,46,610.4,815.4,1721,18,531,314.0,14,FWD
Dominic Calvert-Lewin,165,0,39,308.0,745.8,1439,21,528,249.0,11,FWD
Andrew Robertson,161,0,42,1129.3,754.4,359,19,834,224.5,12,DEF
Trent Alexander-Arnold,160,0,40,1238.8,789.6,529,26,761,255.7,10,DEF
Ederson Moares,160,66,28,10.0,586.0,0,3,696,59.6,19,GK
Jack Harrison,160,0,45,821.7,759.2,666,15,542,225.2,11,MID
Ilkay Gundogan,157,0,16,688.4,754.6,712,22,620,215.7,12,MID
James Ward-Prowse,156,0,68,971.2,940.0,355,17,772,226.5,9,MID
Illan Meslier,154,140,52,10.0,1026.0,0,20,774,103.7,11,GK
Raheem Sterling,154,0,23,584.1,663.4,1366,10,458,260.3,14,MID
Aaron Cresswell,153,0,41,898.6,669.4,96,21,730,166.8,11,DEF
Matheus Pereira,153,0,58,873.6,744.0,661,15,565,227.9,6,MID
Hugo Lloris,149,114,45,0.0,868.0,0,13,702,86.7,12,GK
Mason Mount,147,0,32,1336.9,770.4,954,16,599,306.3,14,MID
Tomas Soucek,147,0,47,271.1,889.8,925,16,555,208.8,11,MID
Riyad Mahrez,145,0,22,693.6,606.0,893,15,505,219.1,11,MID
Aaron Wan-Bissaka,144,0,36,498.2,785.4,159,11,729,144.1,13,DEF
Nick Pope,144,114,37,20.0,846.6,2,20,652,86.8,11,GK
Ruben Dias,142,0,21,91.0,651.6,218,12,656,96.3,17,DEF
